feature,importance
outlet_split_ratio,0.31541008876281806
channel_width_um,0.204401959154466
dep_end_fraction,0.0711305605358356
family_id,0.05572836443782701
velocity_um_s,0.0481402279841436
dean_scale,0.04216026976752591
voltage_v,0.037207590858560964
log_frequency_hz,0.029990787690945434
length_factor,0.0284146191329061
field_gain,0.027465308859999458
inner_radius_um,0.027398292008554075
inlet_offset_ratio,0.026589910239130307
turns,0.02622680732190273
dep_start_fraction,0.022941723027754737
inlet_spread_ratio,0.020895917201661333
pitch_um,0.01589757301596851
