feature,importance
width0_um,0.2451288539993043
turns,0.12190764179877801
velocity_um_s,0.11655694624039113
b_um_per_rad,0.06444268346948524
outlet_expansion_beta,0.061128895187827985
log_frequency_hz,0.050607429716599685
dean_scale,0.048838524554719494
field_gain,0.04511857225585083
voltage_v,0.043900961333806526
a_um,0.041994395672171635
n_mode,0.040020582388536015
dep_start_fraction,0.03835260881604185
dep_end_fraction,0.03306781486997611
c_ratio,0.027708309194281862
family_id,0.021225780502229216
