feature,importance,target
flow_uL_min,0.38413275867609975,target_correct
length_mm,0.1519425641381476,target_correct
width_um,0.11298039462920735,target_correct
effective_voltage_v,0.10950155216573149,target_correct
voltage_v,0.08735888785842959,target_correct
velocity_um_s,0.06704259046289393,target_correct
dep_start_fraction,0.06691634980867377,target_correct
residence_s,0.013748465789468787,target_correct
inlet_offset_ratio,0.006376436471347721,target_correct
active_joule_power_mW,0.0,target_correct
pressure_drop_kPa,0.0,target_correct
reynolds,0.0,target_correct
effective_field_kV_m,0.0,target_correct
source_id,0.0,target_correct
steady_substrate_delta_c_proxy,0.0,target_correct
mean_curvature_1_m,0.0,target_correct
p95_curvature_1_m,0.0,target_correct
min_curvature_radius_um,0.0,target_correct
smoothness_index,0.0,target_correct
min_nonlocal_clearance_um,0.0,target_correct
manufacturable_no_intersection_ok_num,0.0,target_correct
footprint_mm2,0.0,target_correct
electrode_gap_um,0.0,target_correct
dean_scale,0.0,target_correct
field_gain,0.0,target_correct
electrode_coverage,0.0,target_correct
family_id,0.0,target_correct
dep_end_fraction,0.0,target_correct
inlet_spread_ratio,0.0,target_correct
inlet_length_um,0.0,target_correct
curvature_power,0.0,target_correct
eccentricity,0.0,target_correct
pitch_um_per_turn,0.0,target_correct
radius_um,0.0,target_correct
turns,0.0,target_correct
frequency_hz,0.0,target_correct
inlet_kind_id,0.0,target_correct
shape_class_id,0.0,target_correct
thermal_risk_num,0.0,target_correct
active_joule_power_mW,0.7006472919002987,design_score
field_gain,0.16035835378498584,design_score
flow_uL_min,0.09296495550893567,design_score
curvature_power,0.025887911202003008,design_score
width_um,0.020141487603776775,design_score
source_id,0.0,design_score
length_mm,0.0,design_score
footprint_mm2,0.0,design_score
residence_s,0.0,design_score
pressure_drop_kPa,0.0,design_score
reynolds,0.0,design_score
effective_field_kV_m,0.0,design_score
steady_substrate_delta_c_proxy,0.0,design_score
mean_curvature_1_m,0.0,design_score
p95_curvature_1_m,0.0,design_score
min_curvature_radius_um,0.0,design_score
smoothness_index,0.0,design_score
min_nonlocal_clearance_um,0.0,design_score
manufacturable_no_intersection_ok_num,0.0,design_score
dean_scale,0.0,design_score
electrode_gap_um,0.0,design_score
electrode_coverage,0.0,design_score
family_id,0.0,design_score
shape_class_id,0.0,design_score
inlet_kind_id,0.0,design_score
frequency_hz,0.0,design_score
voltage_v,0.0,design_score
effective_voltage_v,0.0,design_score
velocity_um_s,0.0,design_score
turns,0.0,design_score
radius_um,0.0,design_score
pitch_um_per_turn,0.0,design_score
eccentricity,0.0,design_score
inlet_length_um,0.0,design_score
inlet_offset_ratio,0.0,design_score
inlet_spread_ratio,0.0,design_score
dep_start_fraction,0.0,design_score
dep_end_fraction,0.0,design_score
thermal_risk_num,0.0,design_score
