case_id,seed,turns,voltage_v,velocity_um_s,correct_fraction,live_inner_fraction,dead_outer_fraction,wall_limited_count
turns_3_voltage_8_velocity_1000um_s,7,3.0,8.0,1000.0,0.675,0.77,0.58,5
turns_3_voltage_8_velocity_1000um_s,11,3.0,8.0,1000.0,0.65,0.69,0.61,2
turns_3_voltage_8_velocity_1000um_s,13,3.0,8.0,1000.0,0.65,0.65,0.65,4
turns_3_voltage_8_velocity_1000um_s,17,3.0,8.0,1000.0,0.715,0.76,0.67,7
turns_3_voltage_8_velocity_1000um_s,19,3.0,8.0,1000.0,0.665,0.68,0.65,5
turns_3_voltage_8_velocity_2000um_s,7,3.0,8.0,2000.0,0.62,0.73,0.51,0
turns_3_voltage_8_velocity_2000um_s,11,3.0,8.0,2000.0,0.55,0.55,0.55,0
turns_3_voltage_8_velocity_2000um_s,13,3.0,8.0,2000.0,0.575,0.55,0.6,0
turns_3_voltage_8_velocity_2000um_s,17,3.0,8.0,2000.0,0.645,0.67,0.62,0
turns_3_voltage_8_velocity_2000um_s,19,3.0,8.0,2000.0,0.56,0.54,0.58,0
turns_3_voltage_8_velocity_3000um_s,7,3.0,8.0,3000.0,0.595,0.71,0.48,0
turns_3_voltage_8_velocity_3000um_s,11,3.0,8.0,3000.0,0.53,0.52,0.54,0
turns_3_voltage_8_velocity_3000um_s,13,3.0,8.0,3000.0,0.545,0.51,0.58,0
turns_3_voltage_8_velocity_3000um_s,17,3.0,8.0,3000.0,0.62,0.65,0.59,0
turns_3_voltage_8_velocity_3000um_s,19,3.0,8.0,3000.0,0.535,0.51,0.56,0
turns_3_voltage_10_velocity_1000um_s,7,3.0,10.0,1000.0,0.74,0.9,0.58,19
turns_3_voltage_10_velocity_1000um_s,11,3.0,10.0,1000.0,0.735,0.86,0.61,15
turns_3_voltage_10_velocity_1000um_s,13,3.0,10.0,1000.0,0.725,0.8,0.65,13
turns_3_voltage_10_velocity_1000um_s,17,3.0,10.0,1000.0,0.76,0.85,0.67,19
turns_3_voltage_10_velocity_1000um_s,19,3.0,10.0,1000.0,0.73,0.81,0.65,19
turns_3_voltage_10_velocity_2000um_s,7,3.0,10.0,2000.0,0.64,0.77,0.51,1
turns_3_voltage_10_velocity_2000um_s,11,3.0,10.0,2000.0,0.605,0.66,0.55,0
turns_3_voltage_10_velocity_2000um_s,13,3.0,10.0,2000.0,0.625,0.65,0.6,2
turns_3_voltage_10_velocity_2000um_s,17,3.0,10.0,2000.0,0.675,0.73,0.62,4
turns_3_voltage_10_velocity_2000um_s,19,3.0,10.0,2000.0,0.62,0.66,0.58,3
turns_3_voltage_10_velocity_3000um_s,7,3.0,10.0,3000.0,0.62,0.76,0.48,0
turns_3_voltage_10_velocity_3000um_s,11,3.0,10.0,3000.0,0.56,0.58,0.54,0
turns_3_voltage_10_velocity_3000um_s,13,3.0,10.0,3000.0,0.585,0.59,0.58,2
turns_3_voltage_10_velocity_3000um_s,17,3.0,10.0,3000.0,0.645,0.7,0.59,0
