case_id,split,seed,turns,voltage_v,velocity_um_s,particles_total,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_inner,live_outer,live_lost,dead_inner,dead_outer,dead_lost,mean_live_re_cm,mean_dead_re_cm,mean_live_radius_um,mean_dead_radius_um
turns_4_voltage_8_velocity_800um_s,design,7,4.0,8.0,800.0,300,0.36,0.24666666666666667,0.47333333333333333,0.3490566037735849,0.5590551181102362,0.22333333333333333,37,56,57,69,71,10,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_8_velocity_800um_s,design,11,4.0,8.0,800.0,300,0.38666666666666666,0.23333333333333334,0.54,0.3431372549019608,0.6090225563909775,0.21666666666666667,35,52,63,67,81,2,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_8_velocity_800um_s,design,13,4.0,8.0,800.0,300,0.37,0.22,0.52,0.3402061855670103,0.5735294117647058,0.22333333333333333,33,58,59,64,78,8,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_4_voltage_8_velocity_800um_s,validation,101,4.0,8.0,800.0,300,0.38666666666666666,0.25333333333333335,0.52,0.3619047619047619,0.6046511627906976,0.22,38,51,61,67,78,5,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_8_velocity_800um_s,validation,103,4.0,8.0,800.0,300,0.39666666666666667,0.26666666666666666,0.5266666666666666,0.37735849056603776,0.6220472440944882,0.22333333333333333,40,48,62,66,79,5,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_8_velocity_800um_s,validation,107,4.0,8.0,800.0,300,0.38666666666666666,0.28,0.49333333333333335,0.39622641509433965,0.5873015873015873,0.22666666666666666,42,52,56,64,74,12,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_8_velocity_1000um_s,design,7,4.0,8.0,1000.0,300,0.35333333333333333,0.22666666666666666,0.48,0.3333333333333333,0.5179856115107914,0.19666666666666666,34,67,49,68,72,10,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_8_velocity_1000um_s,design,11,4.0,8.0,1000.0,300,0.4066666666666667,0.26666666666666666,0.5466666666666666,0.37383177570093457,0.5899280575539568,0.18,40,57,53,67,82,1,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_8_velocity_1000um_s,design,13,4.0,8.0,1000.0,300,0.3933333333333333,0.26666666666666666,0.52,0.38461538461538464,0.5571428571428572,0.18666666666666668,40,62,48,64,78,8,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_4_voltage_8_velocity_1000um_s,validation,101,4.0,8.0,1000.0,300,0.41,0.2866666666666667,0.5333333333333333,0.39814814814814814,0.5714285714285714,0.17333333333333334,43,60,47,65,80,5,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_8_velocity_1000um_s,validation,103,4.0,8.0,1000.0,300,0.3933333333333333,0.26,0.5266666666666666,0.37142857142857144,0.5895522388059702,0.20333333333333334,39,55,56,66,79,5,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_8_velocity_1000um_s,validation,107,4.0,8.0,1000.0,300,0.37333333333333335,0.2733333333333333,0.47333333333333333,0.3867924528301887,0.5419847328244275,0.21,41,60,49,65,71,14,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_8_velocity_1500um_s,design,7,4.0,8.0,1500.0,300,0.37,0.26666666666666666,0.47333333333333333,0.37383177570093457,0.4930555555555556,0.16333333333333333,40,73,37,67,71,12,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_8_velocity_1500um_s,design,11,4.0,8.0,1500.0,300,0.43666666666666665,0.32,0.5533333333333333,0.42105263157894735,0.5460526315789473,0.11333333333333333,48,69,33,66,83,1,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_8_velocity_1500um_s,design,13,4.0,8.0,1500.0,300,0.4066666666666667,0.3,0.5133333333333333,0.41284403669724773,0.5273972602739726,0.15,45,69,36,64,77,9,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_4_voltage_8_velocity_1500um_s,validation,101,4.0,8.0,1500.0,300,0.4166666666666667,0.29333333333333333,0.54,0.4074074074074074,0.54,0.14,44,69,37,64,81,5,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_8_velocity_1500um_s,validation,103,4.0,8.0,1500.0,300,0.4,0.2733333333333333,0.5266666666666666,0.3867924528301887,0.5486111111111112,0.16666666666666666,41,65,44,65,79,6,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_8_velocity_1500um_s,validation,107,4.0,8.0,1500.0,300,0.36,0.26,0.46,0.375,0.5073529411764706,0.2,39,67,44,65,69,16,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_8_velocity_2000um_s,design,7,4.0,8.0,2000.0,300,0.42333333333333334,0.36666666666666664,0.48,0.45454545454545453,0.496551724137931,0.11333333333333333,55,73,22,66,72,12,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_8_velocity_2000um_s,design,11,4.0,8.0,2000.0,300,0.42333333333333334,0.3,0.5466666666666666,0.40540540540540543,0.5189873417721519,0.10333333333333333,45,76,29,66,82,2,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_8_velocity_2000um_s,design,13,4.0,8.0,2000.0,300,0.44,0.37333333333333335,0.5066666666666667,0.4666666666666667,0.5135135135135135,0.10666666666666667,56,72,22,64,76,10,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
