case_id,split,turns,voltage_v,velocity_um_s,mean_correct,min_correct,std_correct,mean_live_recovery,mean_dead_removal,mean_live_purity,mean_dead_outlet_purity,mean_wall_loss
turns_3.5_voltage_7_velocity_2600um_s,design,3.5,7.0,2600.0,0.45,0.4222222222222222,0.04110735718596873,0.31666666666666665,0.5833333333333334,0.4768307274118935,0.5112830867936878,0.09814814814814815
turns_4.5_voltage_7_velocity_2600um_s,design,4.5,7.0,2600.0,0.4453703703703704,0.4222222222222222,0.028912027770362968,0.3148148148148148,0.575925925925926,0.4857218815265099,0.5235023827015932,0.12592592592592594
turns_3.5_voltage_9_velocity_2600um_s,design,3.5,9.0,2600.0,0.4305555555555556,0.4083333333333333,0.020971762320196537,0.29444444444444445,0.5666666666666667,0.45583843550595465,0.5309289433584804,0.14444444444444446
turns_3.5_voltage_7_velocity_1800um_s,design,3.5,7.0,1800.0,0.42870370370370375,0.4222222222222222,0.005782405554072601,0.25555555555555554,0.601851851851852,0.4168544449809539,0.5176032985732362,0.11203703703703705
turns_5.5_voltage_7_velocity_2600um_s,design,5.5,7.0,2600.0,0.4268518518518518,0.40555555555555556,0.018495355884664978,0.26296296296296295,0.5907407407407407,0.4966340719406636,0.5350355026313215,0.18333333333333335
turns_4.5_voltage_11_velocity_2600um_s,design,4.5,11.0,2600.0,0.42037037037037034,0.3972222222222222,0.020094939272417345,0.2222222222222222,0.6185185185185186,0.4364332136591014,0.5521995901839293,0.18611111111111112
turns_3.5_voltage_9_velocity_1800um_s,design,3.5,9.0,1800.0,0.41018518518518515,0.39166666666666666,0.027404904790645817,0.22777777777777777,0.5925925925925926,0.3983950617283951,0.5362906569803121,0.16203703703703703
turns_4.5_voltage_7_velocity_1800um_s,design,4.5,7.0,1800.0,0.4055555555555556,0.38333333333333336,0.020971762320196506,0.2333333333333333,0.5777777777777778,0.4082411077462071,0.5288095489100514,0.1685185185185185
turns_3.5_voltage_7_velocity_1200um_s,design,3.5,7.0,1200.0,0.40370370370370373,0.4,0.0042431256434776144,0.24074074074074073,0.5666666666666667,0.38812540704133625,0.5241339278933265,0.14907407407407408
turns_3.5_voltage_11_velocity_1800um_s,design,3.5,11.0,1800.0,0.4000000000000001,0.3888888888888889,0.009622504486493762,0.18888888888888888,0.611111111111111,0.36248308108773225,0.5417390229721666,0.17592592592592593
turns_4.5_voltage_7_velocity_1200um_s,design,4.5,7.0,1200.0,0.39166666666666666,0.36666666666666664,0.022737091032979034,0.21296296296296294,0.5703703703703703,0.37752577968398376,0.5275213111147775,0.17592592592592593
turns_3.5_voltage_7_velocity_800um_s,design,3.5,7.0,800.0,0.3898148148148148,0.37777777777777777,0.010516496936667168,0.20555555555555557,0.5740740740740741,0.366997496029754,0.5370746423271832,0.18425925925925926
turns_5.5_voltage_9_velocity_2600um_s,design,5.5,9.0,2600.0,0.3879629629629629,0.36666666666666664,0.018907942459872366,0.19444444444444445,0.5814814814814815,0.4041289851100758,0.5357357589500447,0.21666666666666667
turns_4.5_voltage_9_velocity_2600um_s,design,4.5,9.0,2600.0,0.3861111111111111,0.3638888888888889,0.029397236789606575,0.19814814814814816,0.5740740740740741,0.38833380961040537,0.5328690764920117,0.2064814814814815
turns_5.5_voltage_7_velocity_1800um_s,design,5.5,7.0,1800.0,0.38425925925925924,0.3527777777777778,0.027263762711732326,0.20925925925925926,0.5592592592592592,0.3877264840827222,0.527949833691378,0.20185185185185187
turns_5.5_voltage_9_velocity_1800um_s,design,5.5,9.0,1800.0,0.38055555555555554,0.3472222222222222,0.03093202423794457,0.1685185185185185,0.5925925925925926,0.3682489451476793,0.5711805555555555,0.25092592592592594
turns_4.5_voltage_9_velocity_1800um_s,design,4.5,9.0,1800.0,0.3787037037037037,0.35833333333333334,0.02837324712230474,0.20555555555555557,0.5518518518518518,0.37930468575629867,0.5369809144936765,0.21666666666666667
turns_3.5_voltage_11_velocity_2600um_s,design,3.5,11.0,2600.0,0.3768518518518518,0.3527777777777778,0.021576259625427845,0.20185185185185187,0.5518518518518518,0.3572678634250084,0.49339410389858246,0.15833333333333333
turns_3.5_voltage_13_velocity_2600um_s,design,3.5,13.0,2600.0,0.3768518518518518,0.36666666666666664,0.015298807075794724,0.16666666666666666,0.587037037037037,0.3403453136011276,0.5432134956237625,0.21481481481481482
turns_4.5_voltage_11_velocity_1800um_s,design,4.5,11.0,1800.0,0.37592592592592594,0.3638888888888889,0.012525693757841384,0.1796296296296296,0.5722222222222222,0.3525633016824921,0.5594892020913115,0.2324074074074074
turns_3.5_voltage_9_velocity_1200um_s,design,3.5,9.0,1200.0,0.375,0.36666666666666664,0.007349309197401646,0.17222222222222225,0.5777777777777778,0.32630017680163353,0.5439932347148843,0.20462962962962963
turns_3.5_voltage_9_velocity_800um_s,design,3.5,9.0,800.0,0.3712962962962963,0.36944444444444446,0.0032075014954979094,0.1648148148148148,0.5777777777777778,0.3171402102616277,0.5610069515382964,0.225
turns_5.5_voltage_7_velocity_1200um_s,design,5.5,7.0,1200.0,0.3703703703703704,0.3611111111111111,0.009755234956345121,0.19259259259259262,0.5481481481481482,0.3758830886799714,0.569033146315887,0.26296296296296295
turns_3.5_voltage_13_velocity_1800um_s,design,3.5,13.0,1800.0,0.36944444444444446,0.3611111111111111,0.007349309197401646,0.17592592592592593,0.562962962962963,0.3243069873997709,0.573587344882414,0.23796296296296296
turns_5.5_voltage_11_velocity_2600um_s,design,5.5,11.0,2600.0,0.36481481481481487,0.35555555555555557,0.008486251286955253,0.16666666666666666,0.562962962962963,0.34783918395754493,0.5587471121279411,0.25925925925925924
turns_4.5_voltage_9_velocity_1200um_s,design,4.5,9.0,1200.0,0.36481481481481476,0.33055555555555555,0.029960536458080445,0.15,0.5796296296296296,0.31181476727047974,0.5639507928981613,0.24722222222222223
turns_4.5_voltage_13_velocity_2600um_s,design,4.5,13.0,2600.0,0.3592592592592592,0.3194444444444444,0.03517299983930109,0.18888888888888888,0.5296296296296296,0.3662557213683279,0.5871359911950477,0.2898148148148148
turns_4.5_voltage_7_velocity_800um_s,design,4.5,7.0,800.0,0.35555555555555557,0.3333333333333333,0.031549490810001524,0.16666666666666666,0.5444444444444444,0.3141414141414141,0.5418988211930645,0.23148148148148148
turns_3.5_voltage_11_velocity_1200um_s,design,3.5,11.0,1200.0,0.35555555555555557,0.32222222222222224,0.030046260628866558,0.14629629629629629,0.5648148148148149,0.2916851515762587,0.5580191118419232,0.24259259259259258
