case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,condition
spiral_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,31,spiral,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.425,0.5,0.5,B_live_outer_dead_inner,0.275,0.575,0.075,9.32219742279955,6.021167247394539,3.3010301754050104,spiral_flow_only
spiral_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,37,spiral,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.48125,0.44375,0.48125,A_live_inner_dead_outer,0.3625,0.6,0.075,8.365210335821953,10.065645021222682,1.7004346854007295,spiral_flow_only
spiral_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,41,spiral,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.49375,0.425,0.49375,A_live_inner_dead_outer,0.4,0.5875,0.08125,9.385133131190596,5.22423563298811,4.160897498202486,spiral_flow_only
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,31,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.46875,0.425,0.46875,A_live_inner_dead_outer,0.325,0.6125,0.10625,2.0598407571159414,7.614199877557665,5.554359120441724,spiral_dep_on
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,37,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.44375,0.45625,0.45625,B_live_outer_dead_inner,0.325,0.5625,0.1,-1.636915104352997,4.632423952986672,6.2693390573396695,spiral_dep_on
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,41,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4,0.48125,0.48125,B_live_outer_dead_inner,0.2625,0.5375,0.11875,5.017585260405326,3.3666318999095166,1.6509533604958095,spiral_dep_on
straight_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,31,straight,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.5,0.5,0.5,A_live_inner_dead_outer,0.475,0.525,0.0,-2.3102056358308323,-3.2061302236071376,0.8959245877763053,straight_flow_only
straight_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,37,straight,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.51875,0.48125,0.51875,A_live_inner_dead_outer,0.475,0.5625,0.0,-1.195023870282076,2.4361318499854683,3.631155720267544,straight_flow_only
straight_dep_0_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,41,straight,False,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.575,0.425,0.575,A_live_inner_dead_outer,0.55,0.6,0.0,-7.288824187819026,3.0083559920861798,10.297180179905206,straight_flow_only
straight_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,31,straight,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.41875,0.5125,0.5125,B_live_outer_dead_inner,0.275,0.5625,0.06875,0.6007018264929205,3.192018740243115,2.5913169137501946,straight_dep_on
straight_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,37,straight,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.44375,0.50625,0.50625,B_live_outer_dead_inner,0.325,0.5625,0.05,0.3938219652276699,-1.6062121284987245,2.0000340937263945,straight_dep_on
straight_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,41,straight,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.45625,0.475,0.475,B_live_outer_dead_inner,0.375,0.5375,0.06875,-5.126655727864593,0.8764700750174373,6.00312580288203,straight_dep_on
spiral_dep_1_sign_-1_f_455.326kHz_V_7_u_2600_split_0.45,31,spiral,True,-1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.45625,0.48125,0.48125,B_live_outer_dead_inner,0.325,0.5875,0.0625,10.1497834608179,6.858469176022789,3.291314284795112,spiral_dep_reversed
spiral_dep_1_sign_-1_f_455.326kHz_V_7_u_2600_split_0.45,37,spiral,True,-1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4125,0.55625,0.55625,B_live_outer_dead_inner,0.2875,0.5375,0.03125,10.589168994996774,2.6539623588070027,7.935206636189771,spiral_dep_reversed
spiral_dep_1_sign_-1_f_455.326kHz_V_7_u_2600_split_0.45,41,spiral,True,-1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4875,0.475,0.4875,A_live_inner_dead_outer,0.3625,0.6125,0.0375,9.921344322236681,10.020974374667375,0.0996300524306939,spiral_dep_reversed
