case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,stage,sample_id,inner_radius_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,optimization_score
spiral_dep_1_sign_1_f_1772.56kHz_V_21.2157_u_5186_split_0.738656,111,spiral,True,1.0,1772563.3540319202,2.7134441964303004,89.74959688619838,229.78130142702778,21.21569078695539,5185.6442319223215,0.7386557599466765,0.42857142857142855,0.5571428571428572,0.5571428571428572,B_live_outer_dead_inner,0.7,0.15714285714285714,0.014285714285714285,11.552779635813794,-1.3866648637686683,12.939444499582462,baseline_lhs,66,1458.2953036906079,0.0,1.0,0.0,1.0,1.0,0.5831451986056816
spiral_dep_1_sign_1_f_3922.11kHz_V_2.88865_u_1643_split_0.682563,111,spiral,True,1.0,3922105.352144936,2.475505128792705,190.47203619264596,110.71352228425795,2.8886491749889966,1642.8254545506238,0.682563358407233,0.5571428571428572,0.42857142857142855,0.5571428571428572,A_live_inner_dead_outer,0.7714285714285715,0.34285714285714286,0.014285714285714285,-4.005236051101829,6.870196487947373,10.875432539049202,baseline_lhs,82,2176.8655071091275,0.0,1.0,0.0,1.0,1.0,0.5759211567438152
spiral_dep_1_sign_1_f_651.26kHz_V_7.28714_u_5655_split_0.728882,111,spiral,True,1.0,651259.933496741,1.8680930575240853,162.3881266332557,154.79652192631056,7.287138986889184,5655.064150881204,0.7288824149100015,0.5642857142857143,0.42142857142857143,0.5642857142857143,A_live_inner_dead_outer,0.8142857142857143,0.3142857142857143,0.014285714285714285,-0.17763221045690694,8.597588066518258,8.775220276975164,baseline_lhs,12,897.0522560568708,0.0,1.0,0.0,1.0,1.0,0.5757132709694132
spiral_dep_1_sign_1_f_698.96kHz_V_6.46249_u_4483_split_0.257061,111,spiral,True,1.0,698960.1462411697,3.6710959685503703,80.77722320435359,195.84803841848918,6.462488996600581,4483.349027995944,0.2570605823550993,0.42857142857142855,0.5571428571428572,0.5571428571428572,B_live_outer_dead_inner,0.17142857142857143,0.6857142857142857,0.014285714285714285,6.12466675060339,-0.8965159265831618,7.021182677186552,baseline_lhs,56,1112.5302617206492,0.0,1.0,0.0,1.0,1.0,0.5624312822272959
spiral_dep_1_sign_1_f_4412.27kHz_V_3.6784_u_3448_split_0.425702,111,spiral,True,1.0,4412272.711511496,1.5188641318680864,349.7974437702346,94.5793562673328,3.6783976516541514,3448.4582335062096,0.42570188301282785,0.4357142857142857,0.55,0.55,B_live_outer_dead_inner,0.22857142857142856,0.6428571428571429,0.014285714285714285,8.34060266346873,5.014890352622268,3.3257123108464617,baseline_lhs,0,1682.4563915599304,0.0,1.0,0.0,1.0,1.0,0.5423542788022484
spiral_dep_1_sign_1_f_2402.16kHz_V_6.13515_u_6491_split_0.550248,111,spiral,True,1.0,2402155.836952043,1.6518469160540963,280.4260406725772,148.4558221388793,6.1351505156882835,6491.325454311156,0.5502483768337769,0.37142857142857144,0.5785714285714286,0.5785714285714286,B_live_outer_dead_inner,0.45714285714285713,0.2857142857142857,0.05,8.59837342011015,2.3857554348808057,6.212617985229344,baseline_lhs,7,1947.5110082889394,0.0,1.0,0.0,1.0,1.0,0.5328155915197313
spiral_dep_1_sign_1_f_1566.75kHz_V_22.3486_u_5609_split_0.460672,111,spiral,True,1.0,1566749.5051815375,3.1062352473000505,302.59508181877993,231.5551538635749,22.348595156492994,5609.041895478773,0.4606715135667798,0.4642857142857143,0.5214285714285715,0.5214285714285715,B_live_outer_dead_inner,0.42857142857142855,0.5,0.014285714285714285,5.547140742848224,1.9202786976743238,3.6268620451738998,baseline_lhs,43,750.2332719330035,0.0,1.0,0.0,1.0,1.0,0.5148368743009659
spiral_dep_1_sign_1_f_1822.57kHz_V_2.2998_u_6058_split_0.514842,111,spiral,True,1.0,1822574.248554106,6.332622461299758,354.9215862981011,199.75641943443864,2.299804478438702,6057.813324149465,0.514841926558986,0.4142857142857143,0.5357142857142857,0.5357142857142857,B_live_outer_dead_inner,0.4142857142857143,0.4142857142857143,0.05,15.436085613635068,8.093664786655632,7.342420826979437,baseline_lhs,79,464.9213924625492,0.0,1.0,0.0,1.0,1.0,0.4939127586087137
spiral_dep_1_sign_1_f_2869.35kHz_V_8.37272_u_1984_split_0.596544,111,spiral,True,1.0,2869352.7212614287,1.8039511232672831,422.49770330108805,158.46321842086255,8.37272236426876,1984.4169991244032,0.5965444982024162,0.5142857142857142,0.45,0.5142857142857142,A_live_inner_dead_outer,0.6,0.42857142857142855,0.03571428571428571,-4.638918758606039,2.4607150902727137,7.099633848878753,baseline_lhs,46,982.4089191241665,0.0,1.0,0.0,1.0,1.0,0.49092014704250414
spiral_dep_1_sign_1_f_1920.84kHz_V_11.522_u_7796_split_0.367808,111,spiral,True,1.0,1920836.063660824,2.338748244082651,253.3006729429352,187.8208879072637,11.521974128662308,7795.558987782555,0.36780770278127606,0.4714285714285714,0.5071428571428571,0.5071428571428571,B_live_outer_dead_inner,0.2714285714285714,0.6714285714285714,0.02142857142857143,10.419153452681844,7.323124249283761,3.096029203398083,baseline_lhs,27,1157.8323704867353,0.0,1.0,0.0,1.0,1.0,0.489050387926179
