case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,stage,sample_id,inner_radius_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,optimization_score
spiral_dep_1_sign_1_f_1243.04kHz_V_21.5813_u_1518_split_0.552697,111,spiral,True,1.0,1243043.7717526462,8.302098162802242,97.87061256575315,160.94711302846346,21.581267333706386,1517.9679205035156,0.5526970095541298,0.7285714285714285,0.2714285714285714,0.7285714285714285,A_live_inner_dead_outer,0.45714285714285713,1.0,0.0,7.655223284077579,41.305693811155095,33.650470527077516,inlet_focusing_lhs,59,931.9382197226756,0.3692635488548852,0.25763954767366115,0.0,1.0,1.0,0.8463480754161998
spiral_dep_1_sign_1_f_3315.95kHz_V_8.36916_u_6479_split_0.30619,111,spiral,True,1.0,3315946.417641835,8.524082495400382,217.2470656853743,119.40160269346384,8.369156910132432,6478.50097243574,0.3061898694938511,0.7214285714285714,0.2714285714285714,0.7214285714285714,A_live_inner_dead_outer,0.44285714285714284,1.0,0.007142857142857143,-23.241802402235034,-7.995383868566832,15.246418533668201,inlet_focusing_lhs,71,943.1989500812535,-0.745551774123145,0.5092025808352656,0.0,1.0,1.0,0.7651481791535529
spiral_dep_1_sign_1_f_1998.07kHz_V_7.2803_u_3065_split_0.321559,111,spiral,True,1.0,1998074.1636104423,8.0941941901957,238.08610350566084,138.29829264174012,7.280297770768042,3065.283492860364,0.32155915935806406,0.7428571428571429,0.18571428571428572,0.7428571428571429,A_live_inner_dead_outer,0.5142857142857142,0.9714285714285714,0.07142857142857142,-35.55902703039302,-11.84885236304502,23.710174667348,inlet_focusing_lhs,21,1462.7303476592579,-0.5262244358583557,0.24919158663333965,0.0,1.0,1.0,0.7294141827642895
spiral_dep_1_sign_1_f_34.5884kHz_V_17.1188_u_7527_split_0.581131,111,spiral,True,1.0,34588.37980173782,6.927898077641852,411.01755543153064,130.84622861967523,17.118831076813603,7526.622427217421,0.5811307259342993,0.6357142857142857,0.36428571428571427,0.6357142857142857,A_live_inner_dead_outer,1.0,0.2714285714285714,0.0,-16.750298520142056,6.965851965033284,23.71615048517534,inlet_focusing_lhs,82,767.9209565850459,-0.24702908334236418,0.14354651468244842,0.0,1.0,1.0,0.7187208124123994
spiral_dep_1_sign_1_f_3365.35kHz_V_17.7237_u_1277_split_0.622011,111,spiral,True,1.0,3365353.3459193143,3.675517544900206,448.74493618535075,172.4972205618389,17.72369755496402,1276.8577763421752,0.6220110595851613,0.5928571428571429,0.39285714285714285,0.5928571428571429,A_live_inner_dead_outer,0.6142857142857143,0.5714285714285714,0.014285714285714285,-0.7252252834251072,25.12770781100683,25.852933094431936,inlet_focusing_lhs,73,1790.0447931181936,0.17277388919961945,0.41433712030290587,0.0,1.0,1.0,0.6640566944019404
spiral_dep_1_sign_1_f_4649.3kHz_V_21.7377_u_3693_split_0.434959,111,spiral,True,1.0,4649299.529010023,2.1052699182472905,426.5282046780229,107.83930488346886,21.737711303358658,3693.269805334106,0.4349589882296947,0.5642857142857143,0.4357142857142857,0.5642857142857143,A_live_inner_dead_outer,0.12857142857142856,1.0,0.0,3.7434132980978387,25.31703909980739,21.57362580170955,inlet_focusing_lhs,51,2002.4499168208565,0.34926846656155996,0.22732151761925407,0.0,1.0,1.0,0.6397934045916978
spiral_dep_1_sign_1_f_4417.13kHz_V_3.8474_u_2464_split_0.507655,111,spiral,True,1.0,4417128.156424747,5.285591114051988,93.52917100860762,94.45451456476547,3.847401833945034,2463.7778116046034,0.5076552674339878,0.6,0.4,0.6,A_live_inner_dead_outer,0.7142857142857143,0.4857142857142857,0.0,-3.6660662946526323,2.285871955279498,5.95193824993213,inlet_focusing_lhs,114,2120.523604446044,-0.20853073046667114,0.32848112804838864,0.0,1.0,1.0,0.6208317838747625
spiral_dep_1_sign_1_f_4349.28kHz_V_4.46913_u_5733_split_0.487635,111,spiral,True,1.0,4349280.963763508,8.00546499832053,280.8092790374722,96.98721946826323,4.469132417659829,5733.336829320967,0.48763500127357506,0.5785714285714286,0.42142857142857143,0.5785714285714286,A_live_inner_dead_outer,0.32857142857142857,0.8285714285714286,0.0,5.74414574920056,10.19857205675716,4.4544263075565995,inlet_focusing_lhs,5,1304.8214358105524,-0.5726189457178841,0.8089666489161147,0.0,1.0,1.0,0.5941619206478768
spiral_dep_1_sign_1_f_1940.85kHz_V_2.29533_u_566_split_0.267873,111,spiral,True,1.0,1940852.4906758426,6.25683293840966,340.00167495373984,88.97317893076213,2.2953310574815413,566.4410109944397,0.26787292365141957,0.7142857142857143,0.15,0.7142857142857143,A_live_inner_dead_outer,0.6714285714285714,0.7571428571428571,0.1357142857142857,-30.619445506149486,-13.505602180042505,17.11384332610698,inlet_focusing_lhs,27,1456.5848709432605,-0.663217312545708,0.7331088894528668,0.0,1.0,1.0,0.5909698802128031
spiral_dep_1_sign_1_f_3970.18kHz_V_6.47624_u_6885_split_0.455491,111,spiral,True,1.0,3970177.263983034,2.429491670053023,289.47751027102447,161.3465310056215,6.476243907820691,6884.663839434375,0.4554909823908025,0.44285714285714284,0.5571428571428572,0.5571428571428572,B_live_outer_dead_inner,0.35714285714285715,0.5285714285714286,0.0,7.68158264378135,2.229112165085938,5.452470478695412,inlet_focusing_lhs,48,1646.642926795121,0.004642016977557173,0.811168085301942,0.0,1.0,1.0,0.5762265038182911
spiral_dep_1_sign_1_f_2644.97kHz_V_4.69606_u_4557_split_0.252635,111,spiral,True,1.0,2644965.9677252234,3.43040352117984,262.30422260919175,196.25861095003265,4.696064524089731,4556.836788494571,0.25263517354351545,0.45,0.55,0.55,B_live_outer_dead_inner,0.17142857142857143,0.7285714285714285,0.0,-14.737999934752922,-20.32271941229593,5.584719477543006,inlet_focusing_lhs,31,1872.5693363971386,-0.29487107105940347,0.7447812461342103,0.0,1.0,1.0,0.5695465181714006
