feature,importance
inlet_offset_ratio,0.26265214091851924
channel_width_um,0.23463276190085475
dean_scale,0.11232969519616395
turns,0.08108487509992712
voltage_v,0.07072682912202626
inner_radius_um,0.042349100713941615
dep_sign,0.040565106905008634
velocity_um_s,0.028309296954403162
dep_start_fraction,0.026799864879296923
dep_end_fraction,0.024683469634910745
outlet_split_ratio,0.0232903884620031
inlet_spread_ratio,0.02274055331910689
log_frequency_hz,0.01504494757124132
pitch_um,0.014790969322596314
